syllable,idf
rkyal,559
gzhi'o,558
bsko,558
brkam,557
aee,556
gzhungs,556
kunda,555
skra'i,555
d'u,555
'khyams,554
brnab,554
kya,553
skyugs,550
gyo,550
stsogs,549
gror,549
grihna,549
snar,547
bsnol,547
klan,545
sgra'o,545
'khrigs,545
gshe,544
te'u,544
sbrel,544
'dzi,543
bros,542
phyar,542
gzhes,541
gh'a,541
dring,541
khon,541
skams,540
thebs,540
tsakra,540
gzhang,539
karsha,538
nongs,538
bil,537
skas,537
smrig,536
spo,534
mra,534
du'i,532
tre,531
cus,530
skyid,529
p'i,529
lhod,529
aa'i,528
wam,527
rngam,527
tso,525
'gegs,524
btsan,524
bse,524
zla'i,522
rtser,522
za'o,522
bskon,521
bdugs,519
zha,517
shru,517
grul,516
khri'i,516
slon,516
shor,516
bsnyems,516
gtses,515
y'am,514
rar,514
mthas,513
bsgyings,512
dvi,512
rdeg,511
gnya',511
nga'o,509
spar,508
mgo'i,508
sug,508
'chol,506
con,505
thon,505
bres,503
glan,503
snyim,503
mnye,502
'degs,501
mngag,499
sengge,498
keng,497
brta,495
nri,492
dgram,491
thibs,490
'u,490
rmas,489
btsud,489
shan,488
sa'am,488
lim,488
ngogs,487
bems,487
pu'i,487
gtams,486
rdor,486
gda',486
sme,485
