stem,idf
pushpe,271
khyung,271
aartha,270
smyig,269
bhy'am,269
tyam,269
moo,269
moonggal,268
bande,268
rbab,268
shtha,268
tshva'i,267
mand'a,266
sumbha,266
shir,265
yata,264
tal,264
chin,262
hna,262
sru,262
hva,261
shta,261
geb,259
sbyan,258
spen,258
boo,256
ksh'a,256
tee,256
dzing,255
sbag,254
nyar,253
bub,252
aas,251
k'u,250
brid,250
hal,249
sgra',249
smrar,249
lhum,249
lab,249
shv'a,249
krig,249
hyam,248
y'i,248
skyen,248
sprang,248
bidy'a,247
smel,247
aagni,247
gu',246
tantra,246
s'am,246
drud,245
skyi,244
ts'i,243
gra',243
phyur,243
dred,241
dd,240
zlar,240
rkub,239
karmma,238
jung,238
aat,237
cu',236
aud,235
lit,235
ldi,234
datta,234
phred,233
rgyu',232
nytsa,231
ltan,230
mood,230
bhee,230
kva,229
shogces,229
dushta,228
bdagces,228
sgrang,228
spam,227
pr'i,227
mtshe'u,227
phri,227
sh'antim,227
snyel,226
drul,226
bye'u,226
pen,225
dhvam,225
snyag,225
bh'um,225
nanda,224
jud,224
mi'u,224
grug,223
badzre,223
shve,222
rdzang,222
rtad,221
smi,221
rde'u,220
dzv'a,220
phem,220
rtun,220
ma'i'o,220
t'ir,219
yur,219
sbram,219
re',219
kle,219
h'am,219
mo'u,218
m'anta,217
zum,217
sprel,217
dv'a,216
bat,216
shre,215
spyil,215
byur,214
tsinta,214
a'ata,213
tstshe,213
sgram,211
autta,210
dzra,209
dzambha,209
shiggang,207
doo,207
nanta,206
ree,206
autpala'i,206
brul,206
dode,205
tyu,205
sbru,205
bim,204
rir,204
h'a'i,203
k'i'i,203
mungga,203
ldeg,203
tim,203
sbur,202
chu',202
nta,202
sphu,202
jib,201
ko'u,201
auta,201
hur,201
sprug,201
tsakshu,201
shuddhe,200
sindhu,200
r'am,200
ze',199
shr'a,199
lta',198
him,198
smug,197
lhug,197
krinya,197
glal,197
drid,197
ksho,196
khrud,196
lbu,195
lhub,195
stri,195
shla,194
rtsang,194
sgyel,193
bcva,193
breng,193
aa'o,193
laksha,193
zal,193
'al,193
w'an,192
gre'u,192
lut,192
ngi,191
ghasma,191
skyig,190
ai'i,190
le'u'o,190
grim,190
hr'im,190
lat,189
k'am,188
lring,188
barna,188
phe,187
tsya,187
aagna,187
shub,187
aita'o,187
lhab,187
tutt'a,186
bhaksha,186
sral,186
bandhe,186
rnyil,185
shvi,185
po'i'o,185
stun,185
rasmee,185
r,184
rad,184
ksh'i,183
phyan,183
bhanydza,183
thum,182
spad,181
hma,181
sgren,181
dzy'a,180
rakshi,180
rlig,179
th'am,179
dee,179
sir,179
ts'u,178
khrir,178
s,177
landha,177
dzan,177
t'itstsha,177
rnyi,177
bun,176
pheg,175
rdub,174
nul,174
lrit,174
hee,173
aad,173
sgal,173
shigdge,172
myag,172
nda,172
ra',172
kyag,171
rmya,171
che',171
aut,170
gzhagces,170
ly'a,169
rm'a,169
aana'o,168
bata,168
nydza,168
see,168
rnar,168
mchogde,168
shtri,168
pum,167
lot,167
nye'u,166
sarb'a,166
munytsa,166
badzr'i,166
bred,165
ksham,165
k'ar,165
sh'anti,165
aaksha,165
gangg'a,165
skag,164
spug,164
shogde,164
nger,163
khrur,163
shata,163
wa'i,163
spur,163
danta,162
aarha,162
rdeb,161
chem,161
grur,160
rngul,160
baksha,160
pha',160
tsittam,160
rjen,160
shat,160
jing,160
spru,159
'jugces,159
sdar,159
aargha,159
phyad,158
sde'u,158
ged,157
y'ata,157
banti,157
yat,157
tsha',157
dharmm'a,156
dakshi,156
khrum,156
palla,156
rita,156
pyi,156
byab,156
snu,155
tstshinda,155
rug,155
dzdza,155
brad,155
str'i,155
kta,155
skyung,155
khram,154
mum,154
sting,154
sbrid,152
t,152
drim,152
kh'i,151
lad,151
parni,151
skeg,151
aashta,150
shee,150
stambha,149
takki,149
p'urba,149
bhikshu,149
khye'u'i,148
sh'anta,148
shti,148
shig'di,148
sgreg,148
p'am,147
koondi,147
shen,147
rtab,146
theng,146
smyu,146
aargham,145
sub,145
grung,145
dhve,145
tshud,145
mukta,145
jil,144
cigbdag,144
grihn'a,143
sgyug,143
barta,143
tshir,143
pushtim,143
skyeng,142
poo,142
dzanma,142
brud,142
bhr'a,141
shye,141
a'at,141
aarga'i,141
shigces,141
kyur,140
tode,140
ltab,140
num,140
aarka,140
kita,140
brtagces,139
tshub,139
lotstsha,139
briksha,139
samba,139
au'i,139
n'u,138
dzhal,138
gyang,138
rnang,138
spre'u'i,137
de'i'o,137
aanda,137
chir,136
sitsa,136
spub,136
dv'i,136
sbun,136
beed'urya,136
khri',136
lingga,135
kr'a,135
ae'i,135
grum,135
buddhi,135
gzhagde,135
rlug,135
dusht'a,135
shma,135
rtsing,134
nyig,134
tsem,134
st'a,133
me',133
ba'ode,133
phrig,133
chum,133
ste'u,133
britti,133
dvangs,133
stva,132
gode,132
bhinda,132
hoo,132
gem,131
tma,131
karka,131
lig,131
britta,131
au'o,131
smar,131
tat,131
skyin,130
s'urya,130
karna,130
shyam,130
sin,130
mel,130
gzhugde,129
kli,129
tstshi,129
sbyi,128
hv'a,128
shogdpal,128
jeb,128
tr'um,128
trug,128
grvar,127
glur,127
brur,127
phre'u,126
rmen,126
karni,126
lba,126
dumw'a,126
aanydza,126
ny'a,126
ry'a,126
sbreng,126
tir,126
shakti,125
santa,125
lgang,125
sped,125
then,125
spud,125
ltang,124
ae'o,124
de'u,124
phi,124
bhandha,124
rtha,124
ljin,124
a'ar,124
a'adya,124
daggang,124
lcib,124
kakko,124
sram,123
tru,123
we,123
ddha,123
ping,122
barsha,122
padme,122
samyaksam,122
siddhya,122
marda,122
margad,121
sy'am,121
hru,121
mde'u,121
randa'i,121
pr'apta,120
rakto,120
zeb,120
aana,120
bartta,120
kvi,119
zhur,119
phyal,119
aag,119
hasta,119
pta,119
dzr'im,119
yanti,119
shyata,119
t'u,118
tvi,118
rje',118
sanni,118
dhrik,118
phying,118
nti,118
drishti,118
brub,118
w'i,117
bishta,117
shi',117
d,117
shthi,117
dri',117
byi'u,117
sngang,117
dhoo,117
skyag,116
autp'a,116
paksha,116
nna,116
tsli,116
ce',116
bardha,115
drishta,115
phrang,115
buddhe,115
lamba,115
brir,115
s'ir,115
marga,115
aus,114
badzrod,114
aing,114
br'ahma,113
sur,113
nutta,113
aika,113
mushti,112
n'a'i,112
khye,112
stem,112
tsee,112
rtar,111
rasmee'i,111
r'aksha,111
bel,111
sku',111
tib,111
rendra,111
dre'u,110
a'ary'a,110
cib,110
shoo,110
rbad,110
lin,110
ldar,109
k'i'o,109
pir,109
dhut,109
bandhu,109
ciggang,109
aur,108
shrim,108
sgrin,108
spyug,108
aarka'i,108
sht'a,108
ldug,108
sge'u,107
brab,107
shud,107
bhoo,107
mendra,106
lendra,106
a'a'o,106
